prompt,llm,temp,#compiled,#tb_passed,total
basic1,LMMegatronn_345M,0.1,5,0,10
basic1,LMMegatronn_345M,0.3,5,0,10
basic1,LMMegatronn_345M,0.5,5,0,10
basic1,LMMegatronn_345M,0.7,4,0,10
basic1,LMMegatronn_345M,1,5,0,10
basic2,LMMegatronn_345M,0.1,5,2,10
basic2,LMMegatronn_345M,0.3,3,0,10
basic2,LMMegatronn_345M,0.5,3,2,10
basic2,LMMegatronn_345M,0.7,3,0,10
basic2,LMMegatronn_345M,1,2,0,10
basic3,LMMegatronn_345M,0.1,5,0,10
basic3,LMMegatronn_345M,0.3,3,0,10
basic3,LMMegatronn_345M,0.5,4,0,10
basic3,LMMegatronn_345M,0.7,5,0,10
basic3,LMMegatronn_345M,1,2,0,10
basic4,LMMegatronn_345M,0.1,2,2,10
basic4,LMMegatronn_345M,0.3,3,0,10
basic4,LMMegatronn_345M,0.5,1,1,10
basic4,LMMegatronn_345M,0.7,3,1,10
basic4,LMMegatronn_345M,1,2,1,10
intermediate1,LMMegatronn_345M,0.1,0,0,10
intermediate1,LMMegatronn_345M,0.3,3,0,10
intermediate1,LMMegatronn_345M,0.5,0,0,10
intermediate1,LMMegatronn_345M,0.7,0,0,10
intermediate1,LMMegatronn_345M,1,2,1,10
intermediate2,LMMegatronn_345M,0.1,5,0,10
intermediate2,LMMegatronn_345M,0.3,5,0,10
intermediate2,LMMegatronn_345M,0.5,5,0,10
intermediate2,LMMegatronn_345M,0.7,4,0,10
intermediate2,LMMegatronn_345M,1,3,0,10
intermediate3,LMMegatronn_345M,0.1,4,0,10
intermediate3,LMMegatronn_345M,0.3,3,0,10
intermediate3,LMMegatronn_345M,0.5,2,0,10
intermediate3,LMMegatronn_345M,0.7,0,0,10
intermediate3,LMMegatronn_345M,1,3,0,10
intermediate4,LMMegatronn_345M,0.1,0,0,10
intermediate4,LMMegatronn_345M,0.3,0,0,10
intermediate4,LMMegatronn_345M,0.5,0,0,10
intermediate4,LMMegatronn_345M,0.7,0,0,10
intermediate4,LMMegatronn_345M,1,0,0,10
advanced1,LMMegatronn_345M,0.1,5,0,10
advanced1,LMMegatronn_345M,0.3,4,0,10
advanced1,LMMegatronn_345M,0.5,3,0,10
advanced1,LMMegatronn_345M,0.7,2,0,10
advanced1,LMMegatronn_345M,1,1,0,10
advanced2,LMMegatronn_345M,0.1,5,0,10
advanced2,LMMegatronn_345M,0.3,2,0,10
advanced2,LMMegatronn_345M,0.5,1,0,10
advanced2,LMMegatronn_345M,0.7,2,0,10
advanced2,LMMegatronn_345M,1,1,0,10
advanced3,LMMegatronn_345M,0.1,0,0,10
advanced3,LMMegatronn_345M,0.3,0,0,10
advanced3,LMMegatronn_345M,0.5,0,0,10
advanced3,LMMegatronn_345M,0.7,0,0,10
advanced3,LMMegatronn_345M,1,0,0,10
advanced4,LMMegatronn_345M,0.1,5,0,10
advanced4,LMMegatronn_345M,0.3,5,0,10
advanced4,LMMegatronn_345M,0.5,5,0,10
advanced4,LMMegatronn_345M,0.7,3,0,10
advanced4,LMMegatronn_345M,1,1,0,10
intermediate5,LMMegatronn_345M,0.1,2,0,10
intermediate5,LMMegatronn_345M,0.3,2,0,10
intermediate5,LMMegatronn_345M,0.5,1,0,10
intermediate5,LMMegatronn_345M,0.7,1,0,10
intermediate5,LMMegatronn_345M,1,0,0,10
intermediate6,LMMegatronn_345M,0.1,4,0,10
intermediate6,LMMegatronn_345M,0.3,5,3,10
intermediate6,LMMegatronn_345M,0.5,5,4,10
intermediate6,LMMegatronn_345M,0.7,4,2,10
intermediate6,LMMegatronn_345M,1,2,1,10
