prompt,llm,temp,#compiled,#tb_passed,total
basic1,codegen_16B,0.1,20,20,10
basic1,codegen_16B,0.3,20,20,10
basic1,codegen_16B,0.5,20,18,10
basic1,codegen_16B,0.7,20,17,10
basic1,codegen_16B,1,15,13,10
basic2,codegen_16B,0.1,20,20,10
basic2,codegen_16B,0.3,20,19,10
basic2,codegen_16B,0.5,20,17,10
basic2,codegen_16B,0.7,20,14,10
basic2,codegen_16B,1,17,9,10
basic3,codegen_16B,0.1,15,0,10
basic3,codegen_16B,0.3,10,0,10
basic3,codegen_16B,0.5,11,0,10
basic3,codegen_16B,0.7,15,0,10
basic3,codegen_16B,1,11,0,10
basic4,codegen_16B,0.1,20,20,10
basic4,codegen_16B,0.3,20,20,10
basic4,codegen_16B,0.5,20,20,10
basic4,codegen_16B,0.7,20,17,10
basic4,codegen_16B,1,17,16,10
intermediate1,codegen_16B,0.1,20,20,10
intermediate1,codegen_16B,0.3,20,20,10
intermediate1,codegen_16B,0.5,20,20,10
intermediate1,codegen_16B,0.7,20,20,10
intermediate1,codegen_16B,1,16,16,10
intermediate2,codegen_16B,0.1,19,0,10
intermediate2,codegen_16B,0.3,20,8,10
intermediate2,codegen_16B,0.5,17,9,10
intermediate2,codegen_16B,0.7,16,6,10
intermediate2,codegen_16B,1,13,5,10
intermediate3,codegen_16B,0.1,19,0,10
intermediate3,codegen_16B,0.3,18,0,10
intermediate3,codegen_16B,0.5,19,0,10
intermediate3,codegen_16B,0.7,17,0,10
intermediate3,codegen_16B,1,7,0,10
intermediate4,codegen_16B,0.1,14,3,10
intermediate4,codegen_16B,0.3,13,4,10
intermediate4,codegen_16B,0.5,12,1,10
intermediate4,codegen_16B,0.7,14,2,10
intermediate4,codegen_16B,1,5,0,10
advanced1,codegen_16B,0.1,20,19,10
advanced1,codegen_16B,0.3,20,10,10
advanced1,codegen_16B,0.5,19,6,10
advanced1,codegen_16B,0.7,14,4,10
advanced1,codegen_16B,1,7,1,10
advanced2,codegen_16B,0.1,20,8,10
advanced2,codegen_16B,0.3,18,8,10
advanced2,codegen_16B,0.5,19,8,10
advanced2,codegen_16B,0.7,18,6,10
advanced2,codegen_16B,1,6,2,10
advanced3,codegen_16B,0.1,20,20,10
advanced3,codegen_16B,0.3,7,6,10
advanced3,codegen_16B,0.5,2,2,10
advanced3,codegen_16B,0.7,4,1,10
advanced3,codegen_16B,1,3,0,10
advanced4,codegen_16B,0.1,19,19,10
advanced4,codegen_16B,0.3,11,8,10
advanced4,codegen_16B,0.5,15,5,10
advanced4,codegen_16B,0.7,10,7,10
advanced4,codegen_16B,1,10,0,10
intermediate5,codegen_16B,0.1,20,0,10
intermediate5,codegen_16B,0.3,13,0,10
intermediate5,codegen_16B,0.5,15,1,10
intermediate5,codegen_16B,0.7,13,0,10
intermediate5,codegen_16B,1,6,0,10
intermediate6,codegen_16B,0.1,7,7,10
intermediate6,codegen_16B,0.3,11,11,10
intermediate6,codegen_16B,0.5,7,7,10
intermediate6,codegen_16B,0.7,9,7,10
intermediate6,codegen_16B,1,7,4,10
