prompt,llm,temp,#compiled,#tb_passed,total
basic1,codegen_16B,0.1,10,10,10
basic1,codegen_16B,0.3,10,10,10
basic1,codegen_16B,0.5,10,10,10
basic1,codegen_16B,0.7,10,10,10
basic1,codegen_16B,1,10,9,10
basic2,codegen_16B,0.1,10,10,10
basic2,codegen_16B,0.3,10,10,10
basic2,codegen_16B,0.5,10,7,10
basic2,codegen_16B,0.7,9,7,10
basic2,codegen_16B,1,8,5,10
basic3,codegen_16B,0.1,4,0,10
basic3,codegen_16B,0.3,6,0,10
basic3,codegen_16B,0.5,6,0,10
basic3,codegen_16B,0.7,10,0,10
basic3,codegen_16B,1,7,0,10
basic4,codegen_16B,0.1,10,10,10
basic4,codegen_16B,0.3,10,10,10
basic4,codegen_16B,0.5,10,10,10
basic4,codegen_16B,0.7,10,9,10
basic4,codegen_16B,1,10,8,10
intermediate1,codegen_16B,0.1,10,10,10
intermediate1,codegen_16B,0.3,9,9,10
intermediate1,codegen_16B,0.5,10,9,10
intermediate1,codegen_16B,0.7,10,9,10
intermediate1,codegen_16B,1,10,10,10
intermediate2,codegen_16B,0.1,10,0,10
intermediate2,codegen_16B,0.3,9,2,10
intermediate2,codegen_16B,0.5,8,3,10
intermediate2,codegen_16B,0.7,7,4,10
intermediate2,codegen_16B,1,8,3,10
intermediate3,codegen_16B,0.1,10,0,10
intermediate3,codegen_16B,0.3,9,0,10
intermediate3,codegen_16B,0.5,9,0,10
intermediate3,codegen_16B,0.7,7,0,10
intermediate3,codegen_16B,1,7,0,10
intermediate4,codegen_16B,0.1,9,2,10
intermediate4,codegen_16B,0.3,8,2,10
intermediate4,codegen_16B,0.5,8,1,10
intermediate4,codegen_16B,0.7,7,1,10
intermediate4,codegen_16B,1,3,0,10
advanced1,codegen_16B,0.1,10,9,10
advanced1,codegen_16B,0.3,8,4,10
advanced1,codegen_16B,0.5,8,7,10
advanced1,codegen_16B,0.7,9,5,10
advanced1,codegen_16B,1,5,1,10
advanced2,codegen_16B,0.1,10,1,10
advanced2,codegen_16B,0.3,10,4,10
advanced2,codegen_16B,0.5,10,5,10
advanced2,codegen_16B,0.7,8,4,10
advanced2,codegen_16B,1,8,2,10
advanced3,codegen_16B,0.1,9,9,10
advanced3,codegen_16B,0.3,5,5,10
advanced3,codegen_16B,0.5,3,2,10
advanced3,codegen_16B,0.7,3,2,10
advanced3,codegen_16B,1,1,0,10
advanced4,codegen_16B,0.1,9,9,10
advanced4,codegen_16B,0.3,9,8,10
advanced4,codegen_16B,0.5,8,4,10
advanced4,codegen_16B,0.7,7,2,10
advanced4,codegen_16B,1,6,1,10
intermediate5,codegen_16B,0.1,7,0,10
intermediate5,codegen_16B,0.3,9,0,10
intermediate5,codegen_16B,0.5,10,1,10
intermediate5,codegen_16B,0.7,10,1,10
intermediate5,codegen_16B,1,5,0,10
intermediate6,codegen_16B,0.1,10,10,10
intermediate6,codegen_16B,0.3,8,8,10
intermediate6,codegen_16B,0.5,9,7,10
intermediate6,codegen_16B,0.7,7,5,10
intermediate6,codegen_16B,1,6,6,10
advanced5,codegen_16B,0.1,0,0,10
advanced5,codegen_16B,0.3,1,0,10
advanced5,codegen_16B,0.5,0,0,10
advanced5,codegen_16B,0.7,0,0,10
advanced5,codegen_16B,1,2,0,10
