prompt,llm,temp,#compiled,#tb_passed,total
basic1,codegen_6B,0.1,0,0,10
basic1,codegen_6B,0.3,0,0,10
basic1,codegen_6B,0.5,1,0,10
basic1,codegen_6B,0.7,1,1,10
basic1,codegen_6B,1,0,0,10
basic2,codegen_6B,0.1,16,16,10
basic2,codegen_6B,0.3,8,8,10
basic2,codegen_6B,0.5,4,1,10
basic2,codegen_6B,0.7,3,3,10
basic2,codegen_6B,1,5,1,10
basic3,codegen_6B,0.1,0,0,10
basic3,codegen_6B,0.3,0,0,10
basic3,codegen_6B,0.5,0,0,10
basic3,codegen_6B,0.7,0,0,10
basic3,codegen_6B,1,0,0,10
basic4,codegen_6B,0.1,0,0,10
basic4,codegen_6B,0.3,0,0,10
basic4,codegen_6B,0.5,0,0,10
basic4,codegen_6B,0.7,0,0,10
basic4,codegen_6B,1,0,0,10
intermediate1,codegen_6B,0.1,0,0,10
intermediate1,codegen_6B,0.3,0,0,10
intermediate1,codegen_6B,0.5,0,0,10
intermediate1,codegen_6B,0.7,0,0,10
intermediate1,codegen_6B,1,0,0,10
intermediate2,codegen_6B,0.1,1,0,10
intermediate2,codegen_6B,0.3,6,5,10
intermediate2,codegen_6B,0.5,7,2,10
intermediate2,codegen_6B,0.7,7,1,10
intermediate2,codegen_6B,1,3,0,10
intermediate3,codegen_6B,0.1,0,0,10
intermediate3,codegen_6B,0.3,0,0,10
intermediate3,codegen_6B,0.5,0,0,10
intermediate3,codegen_6B,0.7,0,0,10
intermediate3,codegen_6B,1,1,0,10
intermediate4,codegen_6B,0.1,14,0,10
intermediate4,codegen_6B,0.3,12,0,10
intermediate4,codegen_6B,0.5,15,0,10
intermediate4,codegen_6B,0.7,6,0,10
intermediate4,codegen_6B,1,1,0,10
advanced1,codegen_6B,0.1,0,0,10
advanced1,codegen_6B,0.3,0,0,10
advanced1,codegen_6B,0.5,4,0,10
advanced1,codegen_6B,0.7,1,0,10
advanced1,codegen_6B,1,2,0,10
advanced2,codegen_6B,0.1,20,0,10
advanced2,codegen_6B,0.3,13,0,10
advanced2,codegen_6B,0.5,7,1,10
advanced2,codegen_6B,0.7,5,0,10
advanced2,codegen_6B,1,0,0,10
advanced3,codegen_6B,0.1,9,0,10
advanced3,codegen_6B,0.3,9,0,10
advanced3,codegen_6B,0.5,5,0,10
advanced3,codegen_6B,0.7,4,0,10
advanced3,codegen_6B,1,4,0,10
advanced4,codegen_6B,0.1,0,0,10
advanced4,codegen_6B,0.3,0,0,10
advanced4,codegen_6B,0.5,2,0,10
advanced4,codegen_6B,0.7,2,0,10
advanced4,codegen_6B,1,4,0,10
intermediate5,codegen_6B,0.1,0,0,10
intermediate5,codegen_6B,0.3,0,0,10
intermediate5,codegen_6B,0.5,4,2,10
intermediate5,codegen_6B,0.7,1,0,10
intermediate5,codegen_6B,1,2,0,10
intermediate6,codegen_6B,0.1,0,0,10
intermediate6,codegen_6B,0.3,2,0,10
intermediate6,codegen_6B,0.5,1,0,10
intermediate6,codegen_6B,0.7,2,0,10
intermediate6,codegen_6B,1,0,0,10
advanced5,codegen_6B,0.1,12,0,10
advanced5,codegen_6B,0.3,13,0,10
advanced5,codegen_6B,0.5,5,0,10
advanced5,codegen_6B,0.7,2,0,10
advanced5,codegen_6B,1,1,0,10
